state,x,y
Karnataka, -137, -157
Andhra Pradesh, -70, -153
Telangana, -73, -87
Tamil Nadu, -83, -238
Kerela, -119, -261
Goa, -175, -138
Maharashtra, -145, -49
Gujurat, -221, 34
Rajasthan, -174, 109
Arunachal Pradesh, 233, 160
Assam, 205, 117
Bihar, 60, 91
Jharkhand, 53, 43
Chhattisgarh, -7, 1
Haryana, -124, 167
Himachal Pradesh, -103, 226
Madhya Pradesh, -93, 32
Manipur, 229, 82
Meghalaya, 167, 94
Mizoram, 209, 52
Nagaland, 239, 114
Odisha, 42, -18
Punjab, -143, 207
Sikkim, 116, 136
Tripura, 187, 57
Uttar Pradesh, -36, 110
Uttarakhand, -67, 190
West Bengal, 107, 35